City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.4187,19.2345,10.45,78,9,2.14,ZA,1683518225
1,albany,42.6001,-73.9662,14.24,80,100,1.84,US,1683517991
2,adamstown,-25.066,-130.1015,21.81,57,100,9.86,PN,1683518212
3,grytviken,-54.2811,-36.5092,2.03,97,96,4.64,GS,1683518226
4,port alfred,-33.5906,26.891,18.44,73,96,5.08,ZA,1683518227
5,blackmans bay,-43.0167,147.3167,14.07,79,98,5.37,AU,1683518227
6,koryazhma,61.3143,47.1691,-0.09,88,75,3.03,RU,1683518228
7,waitangi,-43.9535,-176.5597,14.9,89,100,2.68,NZ,1683518228
8,alice springs,-23.7,133.8833,15.75,20,21,7.72,AU,1683518229
9,pacific grove,36.6177,-121.9166,12.91,82,0,3.09,US,1683518014
10,edinburgh of the seven seas,-37.0676,-12.3116,14.32,64,53,2.34,SH,1683518229
11,wailua homesteads,22.0669,-159.378,26.24,70,75,7.72,US,1683518230
12,anadyr,64.75,177.4833,0.28,74,0,6.0,RU,1683517944
13,iqaluit,63.7506,-68.5145,-7.15,86,20,4.12,CA,1683518231
14,barcelos,41.5388,-8.6151,15.47,75,96,1.17,PT,1683518231
15,mumford,5.2618,-0.759,27.12,77,100,2.16,GH,1683518232
16,bredasdorp,-34.5322,20.0403,11.9,91,16,1.74,ZA,1683518232
17,talnakh,69.4865,88.3972,-6.55,73,90,2.62,RU,1683518233
18,lorengau,-2.0226,147.2712,29.46,73,46,2.99,PG,1683518233
19,port elizabeth,-33.918,25.5701,18.16,86,75,3.6,ZA,1683518234
20,susuman,62.7833,148.1667,5.43,57,44,3.02,RU,1683518234
21,kolonia,50.9333,6.95,14.98,89,100,2.06,DE,1683518235
22,tomohon,1.3346,124.8392,26.52,66,100,2.38,ID,1683518235
23,hamilton,39.1834,-84.5333,17.83,91,0,2.06,US,1683517508
24,taulaga,-11.0553,-171.0883,28.72,75,83,5.12,AS,1683518236
25,qaqortoq,60.7167,-46.0333,0.79,84,100,0.93,GL,1683518236
26,port-aux-francais,-49.35,70.2167,4.22,63,99,7.43,TF,1683518237
27,ilebo,-4.3167,20.5833,21.69,98,100,0.52,CD,1683518237
28,laramie,41.3114,-105.5911,8.38,49,100,8.23,US,1683518238
29,ta`u,-14.2336,-169.5144,27.83,75,31,5.39,AS,1683518238
30,codrington,-38.2667,141.9667,13.89,74,87,7.98,AU,1683518239
31,georgetown,5.4112,100.3354,31.97,70,20,3.09,MY,1683518184
32,gadzhiyevo,69.2551,33.3362,1.08,90,99,7.67,RU,1683518239
33,tarawa,1.419,172.984,31.05,74,40,3.09,KI,1683518240
34,puerto natales,-51.7236,-72.4875,4.55,87,74,1.32,CL,1683518240
35,polyarnyy,69.1989,33.4478,1.38,89,100,7.48,RU,1683518241
36,ulysses,37.5814,-101.3552,18.16,51,0,8.75,US,1683518241
37,ushuaia,-54.8,-68.3,10.81,54,40,4.12,AR,1683517994
38,ribeira grande,38.5167,-28.7,17.1,97,100,4.92,PT,1683518242
39,trapani,37.8333,12.6667,17.93,77,40,2.57,IT,1683518243
40,kingston,17.997,-76.7936,26.53,87,20,1.54,JM,1683518054
41,nagasaki,32.7447,129.8736,19.91,49,75,7.2,JP,1683517969
42,alaghsas,17.0187,8.0168,26.25,10,100,4.06,NE,1683518244
43,enewetak,11.3474,162.3373,27.49,78,100,6.92,MH,1683518245
44,gorom-gorom,14.4439,-0.2361,31.35,36,82,5.15,BF,1683518245
45,ilulissat,69.2167,-51.1,-5.75,99,90,1.5,GL,1683518246
46,sibut,5.718,19.0739,21.23,86,70,0.34,CF,1683518246
47,terra santa,-2.1042,-56.4869,23.74,95,77,0.76,BR,1683518246
48,isafjordur,66.0755,-23.124,6.34,93,99,2.12,IS,1683518248
49,port lincoln,-34.7333,135.8667,14.56,64,100,4.63,AU,1683518248
50,roleystone,-32.1167,116.0667,22.05,43,100,6.17,AU,1683518249
51,cedral,23.8,-100.7333,17.93,67,100,2.8,MX,1683518249
52,college,64.8569,-147.8028,11.99,43,100,2.57,US,1683518250
53,petropavlovsk-kamchatsky,53.0452,158.6483,7.33,53,75,7.0,RU,1683518250
54,mabaruma,8.2,-59.7833,24.29,90,52,1.45,GY,1683518251
55,union hidalgo,16.4723,-94.8295,29.49,76,1,1.97,MX,1683518251
56,margaret river,-33.95,115.0667,21.01,41,100,7.17,AU,1683518252
57,port mathurin,-19.6833,63.4167,25.9,70,43,11.26,MU,1683518252
58,chonchi,-42.6128,-73.8092,6.73,96,29,0.84,CL,1683518253
59,punta arenas,-53.15,-70.9167,8.06,71,0,8.23,CL,1683518253
60,bethel,41.3712,-73.414,15.92,85,96,0.45,US,1683518253
61,amahai,-3.3333,128.9167,29.81,73,63,2.69,ID,1683518254
62,lebu,-37.6167,-73.65,9.04,81,12,3.86,CL,1683518254
63,afaahiti,-17.75,-149.2833,26.93,79,100,3.24,PF,1683518255
64,holualoa,19.6228,-155.9522,25.91,74,75,6.17,US,1683518255
65,fale old settlement,-9.3852,-171.2468,29.04,76,54,4.37,TK,1683518255
66,mbanza-ngungu,-5.25,14.8667,20.6,95,100,0.77,CD,1683518256
67,puerto baquerizo moreno,-0.9,-89.6,26.29,88,88,4.65,EC,1683518257
68,yellowknife,62.456,-114.3525,16.29,33,20,4.63,CA,1683518257
69,whitehorse,60.7161,-135.0538,12.43,33,20,4.63,CA,1683518258
70,ilhabela,-23.7781,-45.3581,22.77,92,74,2.58,BR,1683518258
71,luderitz,-26.6481,15.1594,13.73,59,5,6.03,NA,1683518259
72,la sarre,48.8002,-79.1996,3.48,51,5,4.37,CA,1683518259
73,namtsy,62.7161,129.6658,-1.5,51,36,6.71,RU,1683518260
74,maysville,38.6412,-83.7444,18.0,94,0,2.57,US,1683518260
75,yelovo,57.0538,54.9207,2.37,55,7,5.33,RU,1683518260
76,ketchikan,55.3422,-131.6461,11.26,66,75,5.66,US,1683518261
77,puerto ayora,-0.7393,-90.3518,26.42,96,65,3.13,EC,1683518261
78,sault ste. marie,46.5168,-84.3333,12.16,86,0,2.57,CA,1683518262
79,kampong thom,12.7111,104.8887,37.25,39,100,2.65,KH,1683518262
80,howrah,22.5892,88.3103,34.0,62,0,3.6,IN,1683518263
81,olonkinbyen,70.9221,-8.7187,1.37,100,100,3.89,SJ,1683518263
82,ibiza,38.9088,1.433,18.78,83,0,2.57,ES,1683518177
83,dapa,9.7594,126.0531,29.52,66,77,0.7,PH,1683518264
84,prado,-17.3411,-39.2208,22.57,91,8,2.76,BR,1683518261
85,hilo,19.7297,-155.09,24.85,80,20,3.09,US,1683518265
86,kiunga,-6.1219,141.2906,29.18,79,99,1.2,PG,1683518265
87,papatowai,-46.5619,169.4708,13.12,81,100,2.09,NZ,1683518265
88,tondano,1.3038,124.9112,27.05,63,100,1.93,ID,1683518266
89,san luis de la loma,17.2706,-100.8939,28.04,70,24,2.43,MX,1683518266
90,magadan,59.5667,150.8,5.85,81,25,3.22,RU,1683518267
91,yanaul,56.2719,54.9309,3.12,56,8,4.53,RU,1683518267
92,hawaiian paradise park,19.5933,-154.9731,24.73,88,20,3.09,US,1683518268
93,ust-nera,64.5667,143.2,4.31,75,100,3.4,RU,1683518268
94,mananara,-16.1667,49.7667,21.76,94,40,2.3,MG,1683518268
95,milton-freewater,45.9326,-118.3877,12.08,74,92,3.76,US,1683518269
96,kodoli,16.8833,74.2,29.14,55,68,2.48,IN,1683518269
97,mount isa,-20.7333,139.5,21.87,21,4,6.69,AU,1683518270
98,weno,7.4515,151.8468,31.97,70,75,3.6,FM,1683518270
99,brandon,27.9378,-82.2859,23.97,69,0,3.6,US,1683518270
100,peace river,56.2501,-117.286,9.17,100,100,2.57,CA,1683518271
101,akobo,7.4344,3.9497,22.32,98,28,1.07,NG,1683518271
102,palikir - national government center,6.9248,158.1611,28.41,84,100,1.54,FM,1683518272
103,aykhal,66.0,111.5,-5.36,72,55,4.91,RU,1683518272
104,aasiaat,68.7098,-52.8699,-2.79,83,94,4.18,GL,1683518273
105,mejit,10.2753,170.8646,27.37,83,62,7.6,MH,1683518273
106,colares,38.7992,-9.4469,16.61,79,99,7.02,PT,1683518273
107,saipan,15.1355,145.701,31.39,100,0,6.69,MP,1683518274
108,utrik,11.2278,169.8474,26.97,83,64,8.47,MH,1683518275
109,sao gabriel da cachoeira,-0.1303,-67.0892,23.04,99,53,0.51,BR,1683518275
110,pangai,-19.8,-174.35,28.06,83,40,2.57,TO,1683518275
111,piggs peak,-25.9667,31.25,14.18,98,100,0.63,SZ,1683518276
112,kristiansund,63.1115,7.732,6.36,70,75,0.51,NO,1683518276
113,faya-largeau,17.9257,19.1043,26.34,19,0,9.86,TD,1683518277
114,bilibino,68.0546,166.4372,-1.48,75,36,1.17,RU,1683518277
115,chulakkurgan,43.765,69.1814,20.22,21,4,2.56,KZ,1683518277
116,tiksi,71.6872,128.8694,-10.01,77,72,6.19,RU,1683518278
117,okha,53.5739,142.9478,5.92,71,17,5.2,RU,1683518278
118,grants,35.1473,-107.8514,15.13,14,0,3.6,US,1683518279
119,majuro,7.0897,171.3803,28.98,79,100,3.09,MH,1683518279
120,aksuat,48.7167,83.7,15.27,39,8,2.27,KZ,1683518280
121,port saint john's,-31.6229,29.5448,18.14,94,100,2.28,ZA,1683518280
122,xai-xai,-25.0519,33.6442,21.03,93,28,2.86,MZ,1683518280
123,lamu,-2.2717,40.902,26.12,83,16,4.55,KE,1683518281
124,salvador,13.8333,-88.9167,25.03,75,0,0.45,SV,1683518020
125,tralee,52.2704,-9.7026,13.02,99,100,2.72,IE,1683518283
126,kyzyl,51.7,94.45,18.33,31,81,1.05,RU,1683518283
127,sao caetano de odivelas,-0.75,-48.02,24.2,95,63,2.82,BR,1683518283
128,tolanaro,-25.0319,46.9987,22.04,88,20,3.09,MG,1683518284
